Temperature [°C],Mean r,SD,SEM,rel SEM, r1,r2,r3,growth time [h]
18,0.068,0.004,0.002,0.035,0.072,0.065,0.066,9.331
19,0.09,0.006,0.004,0.041,0.085,0.089,0.097,6.185
20,0.122,0.005,0.003,0.026,0.118,0.121,0.128,4.675
21,0.151,0.004,0.002,0.014,0.148,0.156,0.151,3.661
22,0.176,0.004,0.002,0.012,0.172,0.179,0.177,3.099
23,0.195,0.002,0.001,0.007,0.195,0.197,0.192,2.836
24,0.221,0.006,0.003,0.015,0.226,0.224,0.215,2.513
25,0.238,0.002,0.001,0.005,0.239,0.235,0.239,2.312
26,0.264,0.01,0.006,0.022,0.265,0.254,0.274,2.134
27,0.29,0.013,0.007,0.025,0.278,0.29,0.303,1.95
28,0.327,0.007,0.004,0.012,0.333,0.329,0.32,1.678
29,0.348,0.009,0.005,0.015,0.341,0.346,0.359,1.572
30,0.363,0.013,0.007,0.021,0.376,0.364,0.35,1.539
31,0.371,0.012,0.007,0.018,0.378,0.358,0.378,1.528
32,0.357,0.011,0.006,0.018,0.365,0.362,0.344,1.539
33,0.375,0.019,0.011,0.029,0.396,0.373,0.357,1.438
34,0.37,0.006,0.004,0.01,0.377,0.368,0.366,1.455
35,0.39,0.018,0.01,0.026,0.407,0.372,0.391,1.394
36,0.371,0.032,0.019,0.05,0.405,0.34,0.369,1.51
37,0.352,0.023,0.013,0.037,0.377,0.333,0.347,1.594
38,0.303,0.028,0.016,0.053,0.335,0.285,0.289,1.827
