timestamp,temp,pH,light_prim,light_sec,air,co2,turb_pump
2025-10-04 14:34:22,20.48,7.34,63.0,91.0,153.25,3.81,0.0
2025-10-04 15:04:22,20.56,7.31,63.0,91.0,151.95,7.84,0.0
2025-10-04 15:34:22,20.49,7.25,63.0,91.0,152.59,6.11,0.0
2025-10-04 16:04:22,20.56,7.28,63.0,91.0,153.25,4.58,0.0
2025-10-04 16:34:22,20.48,7.34,63.0,91.0,151.3,9.13,0.0
2025-10-04 17:04:22,20.55,7.28,63.0,91.0,152.59,7.41,0.0
2025-10-04 17:34:22,20.64,7.25,63.0,91.0,152.59,5.78,0.0
2025-10-04 18:04:22,20.56,7.28,63.0,92.0,151.95,4.36,0.0
2025-10-04 18:34:22,20.56,7.34,63.0,91.0,150.66,9.03,0.0
2025-10-04 19:04:22,20.56,7.31,63.0,91.0,151.3,7.41,0.0
2025-10-04 19:34:22,20.52,7.25,63.0,91.0,151.95,6.0,0.0
2025-10-04 20:04:22,20.63,7.28,63.0,91.0,151.95,4.69,0.0
2025-10-04 20:34:22,20.56,7.31,63.0,91.0,151.95,3.7,0.0
2025-10-04 21:04:22,20.56,7.31,64.0,91.0,151.3,7.95,0.0
2025-10-04 21:34:22,20.56,7.28,63.0,91.0,151.95,6.54,0.0
2025-10-04 22:04:22,20.49,7.28,63.0,92.0,152.59,5.24,0.0
2025-10-04 22:34:22,20.56,7.31,63.0,91.0,153.25,4.25,0.0
2025-10-04 23:04:22,20.56,7.34,63.0,92.0,151.95,8.7,0.0
2025-10-04 23:34:22,20.56,7.28,63.0,92.0,153.25,7.19,0.0
2025-10-05 00:04:22,20.56,7.25,63.0,91.0,150.01,5.56,0.0
2025-10-05 00:34:22,20.56,7.28,63.0,90.0,153.25,4.47,0.0
2025-10-05 01:04:22,20.48,7.31,63.0,91.0,152.59,9.13,0.0
2025-10-05 01:34:22,20.56,7.28,63.0,91.0,152.59,7.52,0.0
2025-10-05 02:04:22,20.56,7.25,63.0,91.0,153.25,5.89,0.0
2025-10-05 02:34:22,20.56,7.25,63.0,91.0,153.25,4.58,0.0
2025-10-05 03:04:22,20.57,7.31,63.0,91.0,152.59,9.13,0.0
2025-10-05 03:34:22,20.57,7.25,64.0,91.0,153.25,7.41
2025-10-05 04:04:22,20.56,7.17,63.0,91.0,153.9,5.89,0.0
2025-10-05 04:34:22,20.56,7.22,63.0,91.0,153.9,4.58,0.0
2025-10-05 05:04:22,20.54,7.28,63.0,91.0,152.59,9.13,0.0
2025-10-05 05:34:22,20.56,7.25,63.0,91.0,153.25,7.41,0.0
2025-10-05 06:04:22,20.57,7.22,64.0,91.0,153.25,5.78,0.0
2025-10-05 06:34:22,20.48,7.22,63.0,91.0,153.9,4.47,0.0
2025-10-05 07:04:22,20.55,7.28,63.0,91.0,152.59,9.13,0.0
2025-10-05 07:34:22,20.5,7.25,63.0,91.0,153.25,7.41,0.0
2025-10-05 08:04:22,20.56,7.22,63.0,91.0,153.9,5.89,0.0
2025-10-05 08:34:22,20.52,7.22,63.0,91.0,154.56,4.47,0.0
2025-10-05 09:04:22,20.56,7.31,63.0,91.0,153.25,9.24,0.0
2025-10-05 09:34:22,20.58,7.25,63.0,91.0,153.25,7.52,0.0
2025-10-05 10:04:22,20.48,7.22,63.0,91.0,150.66,6.0,0.0
2025-10-05 10:34:22,20.48,7.22,63.0,91.0,153.25,4.69,0.0
2025-10-05 11:04:22,20.63,7.28,63.0,91.0,153.9,8.27,0.0
2025-10-05 11:34:22,20.58,7.25,63.0,91.0,152.59,7.73,0.0
2025-10-05 12:04:22,20.56,7.22,63.0,91.0,153.25,6.33,0.0
2025-10-05 12:34:22,20.56,7.22,63.0,91.0,153.9,4.91,0.0
2025-10-05 13:04:22,20.64,7.25,63.0,91.0,153.9,3.7,0.0
2025-10-05 13:34:22,20.62,7.28,63.0,91.0,153.25,8.06,0.0
2025-10-05 14:04:22,20.48,7.22,63.0,91.0,153.9,6.44,0.0
2025-10-05 14:34:22,20.62,7.22,63.0,91.0,154.56,5.02,0.0
2025-10-05 15:04:22,20.56,7.28,63.0,92.0,154.56,3.92,0.0
2025-10-05 15:34:22,20.56,7.25,64.0,91.0,153.25,8.17,0.0
2025-10-05 16:04:22,20.56,7.22,63.0,91.0,153.9,6.54,0.0
2025-10-05 16:34:22,20.48,7.22,63.0,91.0,154.56,5.35,0.0
2025-10-05 17:04:22,20.56,7.25,63.0,91.0,154.56,4.03,0.0
2025-10-05 17:34:22,20.49,7.28,63.0,91.0,153.25,8.6,0.0
2025-10-05 18:04:22,20.56,7.22,64.0,91.0,152.59,6.98,0.0
2025-10-05 18:34:22,20.58,7.17,63.0,91.0,152.59,5.56,0.0
2025-10-05 19:04:22,20.56,7.22,63.0,90.0,153.25,4.47,100.0
2025-10-05 19:34:22,20.56,7.28,63.0,91.0,153.9,9.24,0.0
2025-10-05 20:04:22,20.56,7.25,63.0,91.0,153.25,7.63,0.0
2025-10-05 20:34:22,20.56,7.22,63.0,91.0,153.9,6.22,0.0
2025-10-05 21:04:22,20.56,7.22,63.0,90.0,154.56,4.91,0.0
2025-10-05 21:34:22,20.5,7.25,63.0,91.0,154.56,3.92,0.0
2025-10-05 22:04:22,20.5,7.28,63.0,91.0,153.25,8.38,0.0
2025-10-05 22:34:22,20.48,7.22,63.0,90.0,159.92,7.09,100.0
2025-10-05 23:04:22,20.59,7.17,63.0,91.0,161.29,5.56,0.0
2025-10-05 23:34:22,20.56,7.25,63.0,91.0,162.67,4.14,0.0
2025-10-06 00:04:22,20.51,7.28,63.0,90.0,161.29,8.49,0.0
2025-10-06 00:34:22,20.48,7.17,63.0,90.0,163.36,6.65,0.0
2025-10-06 01:04:22,20.62,7.17,63.0,91.0,164.06,5.13,0.0
2025-10-06 01:34:22,20.51,7.25,63.0,91.0,164.06,7.3,0.0
2025-10-06 02:04:22,20.55,7.22,63.0,92.0,164.06,7.84,0.0
2025-10-06 02:34:22,20.55,7.17,63.0,91.0,164.76,6.11,0.0
2025-10-06 03:04:22,20.55,7.25,63.0,91.0,164.76,4.69,0.0
2025-10-06 03:34:22,20.56,7.28,64.0,91.0,164.06,8.92,0.0
2025-10-06 04:04:22,20.56,7.17,63.0,90.0,164.76,7.09,0.0
2025-10-06 04:34:22,20.56,7.17,63.0,91.0,163.36,5.46,0.0
2025-10-06 05:04:22,20.52,7.25,63.0,92.0,164.06,4.03,0.0
2025-10-06 05:34:22,20.48,7.25,63.0,91.0,162.67,8.17,0.0
2025-10-06 06:04:22,20.56,7.22,63.0,91.0,163.36,6.44,0.0
2025-10-06 06:34:22,20.56,7.22,63.0,92.0,163.36,4.91,0.0
2025-10-06 07:04:22,20.56,7.28,63.0,91.0,162.67,9.45,0.0
2025-10-06 07:34:22,20.53,7.25,63.0,91.0,162.67,7.63,0.0
2025-10-06 08:04:22,20.56,7.17,63.0,91.0,163.36,6.0,0.0
2025-10-06 08:34:22,20.56,7.22,63.0,91.0,163.36,4.58,0.0
2025-10-06 09:04:22,20.56,7.28,63.0,90.0,161.97,8.92,0.0
2025-10-06 09:34:22,20.56,7.22,63.0,91.0,162.67,7.09,0.0
